gas,gas_name,sector,sector_name,geo,country,year,emissions
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NL,Netherlands,2024,36.00612
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NO,Norway,2015,15.20516
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NO,Norway,2016,14.75449
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NO,Norway,2017,15.09677
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NO,Norway,2018,14.98787
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NO,Norway,2019,14.82967
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NO,Norway,2020,14.12133
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NO,Norway,2021,13.13671
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NO,Norway,2022,12.58027
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NO,Norway,2023,12.22452
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NO,Norway,2024,11.71678
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PL,Poland,2015,162.9905
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PL,Poland,2016,162.86159
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PL,Poland,2017,164.58243
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PL,Poland,2018,162.63321
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PL,Poland,2019,149.92434
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PL,Poland,2020,139.00385
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PL,Poland,2021,159.55027
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PL,Poland,2022,152.34708
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PL,Poland,2023,127.03657
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PL,Poland,2024,123.43294
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PT,Portugal,2015,18.23832
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PT,Portugal,2016,17.29022
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PT,Portugal,2017,21.12857
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PT,Portugal,2018,17.72113
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PT,Portugal,2019,12.91864
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PT,Portugal,2020,10.26731
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PT,Portugal,2021,8.20502
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PT,Portugal,2022,8.25251
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PT,Portugal,2023,5.77902
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,PT,Portugal,2024,4.25338
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,RO,Romania,2015,24.23821
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,RO,Romania,2016,22.63182
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,RO,Romania,2017,23.87325
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,RO,Romania,2018,22.21998
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,RO,Romania,2019,18.83681
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,RO,Romania,2020,14.98648
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,RO,Romania,2021,15.53112
