geo,country,year,renewable_energy_share
NL,Netherlands,2015,5.714
NL,Netherlands,2016,5.846
NL,Netherlands,2017,6.507
NL,Netherlands,2018,7.394
NL,Netherlands,2019,8.886
NL,Netherlands,2020,13.999
NL,Netherlands,2021,13.117
NL,Netherlands,2022,15.291
NL,Netherlands,2023,17.588
NL,Netherlands,2024,20.18
NO,Norway,2015,68.545
NO,Norway,2016,69.235
NO,Norway,2017,70.036
NO,Norway,2018,71.566
NO,Norway,2019,74.406
NO,Norway,2020,77.358
NO,Norway,2021,75.038
NO,Norway,2022,76.782
NO,Norway,2023,76.729
NO,Norway,2024,77.932
PL,Poland,2015,11.881
PL,Poland,2016,11.396
PL,Poland,2017,11.059
PL,Poland,2018,14.936
PL,Poland,2019,15.377
PL,Poland,2020,16.102
PL,Poland,2021,15.604
PL,Poland,2022,16.644
PL,Poland,2023,16.651
PL,Poland,2024,17.77
PT,Portugal,2015,30.514
PT,Portugal,2016,30.864
PT,Portugal,2017,30.611
PT,Portugal,2018,30.203
PT,Portugal,2019,30.623
PT,Portugal,2020,33.982
PT,Portugal,2021,33.982
PT,Portugal,2022,34.675
PT,Portugal,2023,35.154
PT,Portugal,2024,36.319
RO,Romania,2015,24.785
RO,Romania,2016,25.032
RO,Romania,2017,24.454
RO,Romania,2018,23.875
RO,Romania,2019,24.29
RO,Romania,2020,24.478
RO,Romania,2021,23.871
RO,Romania,2022,24.229
RO,Romania,2023,25.758
RO,Romania,2024,25.378
RS,Serbia,2015,21.989
RS,Serbia,2016,21.147
RS,Serbia,2017,20.287
RS,Serbia,2018,20.32
RS,Serbia,2019,21.443
RS,Serbia,2020,26.297
RS,Serbia,2021,25.255
RS,Serbia,2022,24.67
RS,Serbia,2023,25.428
RS,Serbia,2024,25.862
SE,Sweden,2015,52.22
SE,Sweden,2016,52.597
SE,Sweden,2017,53.39
SE,Sweden,2018,53.916
SE,Sweden,2019,55.785
SE,Sweden,2020,60.124
SE,Sweden,2021,62.527
SE,Sweden,2022,66.287
SE,Sweden,2023,66.393
SE,Sweden,2024,62.846
SI,Slovenia,2015,22.879
SI,Slovenia,2016,21.975
SI,Slovenia,2017,21.658
SI,Slovenia,2018,21.378
SI,Slovenia,2019,21.968
SI,Slovenia,2020,25.0
SI,Slovenia,2021,25.0
SI,Slovenia,2022,25.002
SI,Slovenia,2023,25.066
SI,Slovenia,2024,25.001
SK,Slovakia,2015,12.882
SK,Slovakia,2016,12.029
SK,Slovakia,2017,11.465
SK,Slovakia,2018,11.896
SK,Slovakia,2019,16.894
SK,Slovakia,2020,17.345
SK,Slovakia,2021,17.419
SK,Slovakia,2022,17.482
SK,Slovakia,2023,16.991
SK,Slovakia,2024,18.092
XK,Kosovo*,2015,18.484
XK,Kosovo*,2016,24.472
XK,Kosovo*,2017,23.082
XK,Kosovo*,2018,24.616
XK,Kosovo*,2019,24.215
XK,Kosovo*,2020,24.401
XK,Kosovo*,2021,22.061
XK,Kosovo*,2022,18.773
XK,Kosovo*,2023,20.215
XK,Kosovo*,2024,18.02
